,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Type
98247788,8104018,A,5363394995.3561325,12907.0,9.0,0.00034781802314439315,Other
26505237,4512151,A,4344487232.254368,12864.0,28.0,0.0003164872455736428,Other
234074680,4075432,A,17857152401.31731,12851.0,201.0,0.0004916646682348053,Other
89897919,9565592,E,5843999287.907724,12827.0,3.0,0.0002688478286028412,Other
15780280,3182084,A,13355738679.055462,12799.0,83.0,0.00036377657821893135,Other
1011629715327614976,955324,A,3742087893.5387244,12789.0,12.0,0.00016088275096780627,Other
355082484,4569514,A,4070150525.3853126,12779.0,5.0,3.5869196100164825e-05,Other
2160154544,1121647,A,15617388517.507698,12750.0,31.0,7.93448008031607e-06,Other
3277891994,8869826,A,8883788553.73551,12733.0,7.0,3.5408385111981934e-05,Other
741669040892973057,584235,A,12174130733.852644,12722.0,16.0,0.0001482746504046009,Other
1187948228240494592,7404715,A,8552803901.815359,12680.0,12.0,0.00010361473713743512,Other
950501033175912449,17895484,A,5280180339.679795,12661.0,1.0,3.139550563880303e-05,Other
22160119,14364730,A,4622568710.719318,12659.0,5.0,0.0001957308408309094,Other
1032298238332743685,2148577,A,11485775019.175808,12639.0,41.0,0.0001379372452407415,Other
156508218,1546098,A,11218291314.193382,12593.0,7.0,9.571475218183291e-06,Other
724081562,5998023,A,2828035803.703938,12581.0,11.0,8.295447111667253e-05,Other
2403074547,3295634,A,8013335314.156675,12577.0,3.0,2.17519266839014e-05,Other
788922164208541700,14866885,A,5354840463.062121,12568.0,1.0,8.448824349891784e-06,Other
762406104,15756067,A,4677536477.973587,12540.0,4.0,0.00022968081266501984,Other
3254642716,17715799,A,0.0,12532.0,0.0,0.00010679835545083834,Other
1108773651845910531,99000,A,24611901851.168385,12522.0,257.0,0.00024758721741777455,Other
717377103864455168,20724286,A,0.0,12517.0,1.0,4.048849768400045e-06,Other
126330050,9248307,A,7256388073.67256,12500.0,2.0,4.0721619427214625e-05,Other
1145389865732890624,17510,A,122277123191.3076,12477.0,526.0,0.0012067437025241304,Other
1053390233700577280,2907847,A,0.0,12450.0,1.0,2.70356023772136e-05,Other
34507480,14720925,A,8858552970.280231,12401.0,3.0,7.197233752509274e-05,Other
3792095833,756949,A,13548845810.298409,12395.0,123.0,0.002098154477947608,Other
761346488849068032,2955351,A,2522359726.685405,12375.0,12.0,0.00020941782552882002,Other
64449859,15879326,A,987344787.9119903,12372.0,20.0,0.001353138464880792,Other
899124567247003650,22160114,A,0.0,12370.0,0.0,3.952039304510722e-05,Other
1004707960927342592,488219,A,25110694443.76765,12363.0,99.0,0.00016552851017302318,Other
586094719,836803,A,19147921251.35578,12318.0,70.0,0.0005938761947716286,Other
2489395303,3395378,A,18932354742.772114,12304.0,19.0,5.0090234451505525e-06,Other
1115047069776064512,5285633,A,0.0,12298.0,0.0,2.4662432620234425e-05,Other
1195084062446301204,7656116,A,24548789607.49639,12271.0,17.0,8.539376190077703e-05,Other
211976977,931003,A,20509763636.371254,12258.0,144.0,0.0009377632745075312,Other
21995903,10615754,E,19408349593.136948,12237.0,16.0,9.129774907442637e-05,Other
18667592,10694635,E,11564159292.467266,12210.0,4.0,1.125712421631351e-05,Other
1238333259693428736,7165898,A,8343551604.67094,12196.0,7.0,3.434094098299206e-06,Other
1170711,5809984,A,4947137623.988568,12184.0,28.0,7.39391154447163e-05,Other
471046122,19431021,O,0.0,12180.0,0.0,1.6652619873421586e-06,Other
166024492,1769348,A,28130833038.84691,12168.0,100.0,6.135302817244667e-05,Other
871926523888009218,2004981,A,7823666590.744767,12140.0,25.0,8.005410613390658e-05,Other
60352835,16299836,A,7859327582.695078,12126.0,1.0,2.2724295807410967e-05,Other
26946348,15659219,A,10417685788.677742,12124.0,1.0,3.109881096361108e-05,Other
1147814063239356416,229791,A,31178226157.08383,12108.0,334.0,0.0011756147020901841,Other
143353939,10451781,E,10422769511.538961,12102.0,9.0,0.00013824604493285447,Other
80366372,4608710,A,17908902184.879543,12076.0,197.0,0.0009303843469952251,Other
414424882,430760,A,21241524426.34216,12069.0,61.0,1.687438808819726e-05,Other
45973045,198711,A,50430998013.23821,12062.0,137.0,0.0004236341136461305,Other
291438698,7837565,A,4436315311.90843,12045.0,6.0,4.906423468791526e-05,Other
1660468830,12183236,A,0.0,12041.0,0.0,2.7983453153959123e-05,Other
1461529940,881731,A,25417933991.82704,12012.0,284.0,0.0014774114137342095,Other
54643600,2456608,E,12614664920.941395,12000.0,149.0,0.0015022881109283484,Other
30507276,2123582,A,13899228046.78634,11993.0,65.0,0.00022523083916992147,Other
21855179,6329,A,153513977094.49002,11958.0,807.0,0.0020177015398306093,Other
27619902,4032190,A,6432818708.206736,11935.0,28.0,0.0004197208452585593,Other
3298331538,4976844,A,26922192030.156784,11930.0,69.0,0.00012251737219546216,Other
609376861,10958815,A,11645182296.511492,11929.0,2.0,1.3479597792415769e-05,Other
984819646082797568,13761464,A,7052117014.987451,11928.0,42.0,4.273802583229515e-05,Other
1067371442768146434,3445026,A,0.0,11921.0,0.0,1.591486592644166e-05,Other
1228462620,2426855,A,8566886968.411057,11917.0,72.0,0.0008696604634993103,Other
1118615146077802496,5405058,A,0.0,11897.0,0.0,4.986054416579719e-06,Other
3138945535,1124556,E,22936870913.766926,11894.0,6.0,0.0005431845157397814,Other
969562275311902720,362695,A,8121205107.005805,11891.0,52.0,0.0005216903221313842,Other
105119490,2811045,A,15213327203.077873,11885.0,1.0,2.846754394596376e-05,Other
1204113357671788546,1766498,A,11398312258.778543,11873.0,5.0,1.2212651574271852e-05,Other
216136518,14172546,A,0.0,11859.0,0.0,7.374623079170508e-06,Other
1088816250631774208,431552,A,12078412359.12383,11851.0,41.0,1.1086301141110709e-05,Other
816838131332698112,3876560,A,29997140892.479546,11847.0,27.0,0.00012090444163900342,Other
2685951655,16159383,E,0.0,11845.0,0.0,0.00014189838051944167,Other
708159235,3710516,A,6551496146.747026,11830.0,16.0,0.00021611613548866074,Other
2484673278,238736,A,16358895350.41739,11809.0,592.0,0.0009643025828922515,Other
455449874,5760489,A,12947308562.759092,11779.0,3.0,3.423605726816978e-06,Other
996558062314901504,22847741,A,0.0,11769.0,0.0,0.0006437948226253444,Other
39543306,5598096,A,4230743064.455395,11768.0,11.0,0.00015966187929619737,Other
981167869,20994819,A,0.0,11746.0,1.0,0.000401620235034188,Other
752556296742662144,2979706,A,8525216673.161505,11725.0,16.0,1.0941054342267315e-05,Other
1230336129934688258,2149639,A,15984164864.040003,11718.0,40.0,8.293789522507043e-05,Other
737730119964459009,6188140,A,12013842216.277029,11708.0,9.0,0.00011002454996653511,Other
