,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Super-community
21525682,4838693,J,4552533983.210326,5517.0,58.0,0.005044990183005575,National elite
1136080845343772672,4380,D,9666679754.096762,5489.0,646.0,0.03495233950501459,National elite
186470618,9934845,D,964762611.9675608,5556.0,2.0,0.0008149352333760535,National elite
825717050538618880,674790,D,1833620100.9394329,5483.0,451.0,0.04468155306434927,National elite
996474904206864384,1466324,D,9855911740.480383,5496.0,103.0,0.002860209960060158,National elite
331311644,17859825,D,3566841071.3071856,5492.0,3.0,6.0549254396481365e-05,National elite
51052182,1867966,D,3649630604.4715466,5540.0,90.0,0.006629721943541094,National elite
368314502,10280310,D,5934894130.758766,5474.0,4.0,0.0008136414512565888,National elite
1079132387605266432,1251171,I,687347873.6462892,5530.0,5123.0,0.09990385636258538,National elite
1201902595,6002575,D,3585768374.942082,5477.0,17.0,0.0019968160298966275,National elite
3072190684,6537056,D,665529690.7082244,5466.0,3.0,0.0034910143398921146,National elite
16112599,1593341,D,1035666195.4474878,5465.0,372.0,0.05958341564655045,National elite
90360929,158890,M,5666098109.750441,5455.0,413.0,0.020621489636540934,National elite
70514858,1658351,D,4361679690.687457,5427.0,203.0,0.02154081729905231,National elite
207739658,159783,D,8845236515.059002,5408.0,549.0,0.01574604811678137,National elite
842385943348797440,218881,D,10115534128.224646,5407.0,567.0,0.009657751049828057,National elite
280082481,164797,J,53867517646.00623,5470.0,4546.0,0.0366685449126343,National elite
171802941,1956459,M,945484900.773019,5430.0,327.0,0.003365250593432957,National elite
16106522,469968,J,9781332842.340017,5409.0,911.0,0.010233315329158676,National elite
21769986,1081611,D,798194032.5659283,5387.0,51.0,0.00945701029977019,National elite
742321348664557568,838527,D,4090527596.5075455,5383.0,380.0,0.03189146379050832,National elite
35791461,896859,D,3194242508.4151535,5419.0,156.0,0.021078092151869492,National elite
3256475848,3028893,D,1096834864.5492277,5380.0,118.0,0.003970918361066019,National elite
6705042,6978780,D,4730798827.812239,5390.0,34.0,0.0007995137734818634,National elite
150246405,847544,D,779371526.1259063,5392.0,84.0,0.001748730269760652,National elite
41702018,5917417,D,2683337529.159942,5377.0,71.0,0.008971374223519516,National elite
907557731082670080,3706577,D,189388780.4449108,5357.0,64.0,0.01093872459571515,National elite
18904582,2446620,D,2871510556.2341104,5364.0,41.0,0.0035634570372669854,National elite
50069007,1604943,D,16225833653.310762,5375.0,182.0,0.0019237964292362502,National elite
142230413,78488,D,22270076265.190838,5355.0,170.0,0.00903402894921147,National elite
